image,side,W_cm,H_cm,MA_cm,ma_cm,D_cm,angle_deg,ppcm_px_per_cm
i039_crop_group.jpg,right(#2),6.0,6.0,6.055911472865513,6.132698059082031,6.447243281773159,71.1493911743164,7.0
i040_crop_group.jpg,left(#1),7.949999999999999,6.8999999999999995,6.917456245422363,8.214155960083007,8.600155448913574,83.15328216552734,6.666666666666667
i040_crop_group.jpg,right(#2),7.199999999999999,7.35,6.946226119995117,7.413856315612793,7.627674293518066,48.24888610839844,6.666666666666667
i041_crop_group.jpg,left(#1),7.949999999999999,6.6,6.322467613220215,7.429336738586425,8.091339683532714,94.39757537841797,6.666666666666667
i041_crop_group.jpg,right(#2),6.8999999999999995,6.449999999999999,6.6286417007446286,7.18978099822998,7.333818626403808,72.880859375,6.666666666666667
i042_crop_group.jpg,left(#1),6.428571428571429,6.0,6.081352233886719,6.588927132742746,6.78687013898577,38.18773651123047,7.0
i042_crop_group.jpg,right(#2),6.0,6.0,6.222204480852399,6.284815652029855,6.457763126918247,155.07537841796875,7.0
i043_crop_group.jpg,left(#1),7.571428571428571,7.142857142857143,7.297664097377232,8.092142922537667,8.360264369419642,93.7137451171875,7.0
i043_crop_group.jpg,right(#2),7.0,7.142857142857143,7.082909720284598,7.176409585135324,7.304480961390904,146.63795471191406,7.0
i044_crop_group.jpg,left(#1),7.35,6.8999999999999995,6.771158409118652,7.701325607299804,7.988146018981933,111.12854766845703,6.666666666666667
i044_crop_group.jpg,right(#2),7.05,6.75,6.583135414123535,7.211559677124023,7.334793663024902,115.61295318603516,6.666666666666667
i045_crop_group.jpg,left(#1),6.260869565217391,5.608695652173913,5.833307846732762,6.903322966202445,6.934879302978516,112.44514465332031,7.666666666666667
i045_crop_group.jpg,right(#2),5.739130434782608,5.217391304347826,5.229751918626868,5.74674772179645,5.960195956022843,91.48180389404297,7.666666666666667
i046_crop_group.jpg,left(#1),8.25,7.5,7.237013053894042,8.075008392333984,8.708115005493164,116.7490005493164,6.666666666666667
i046_crop_group.jpg,right(#2),7.6499999999999995,7.6499999999999995,7.513359832763672,7.6752777099609375,7.882703018188476,155.0382843017578,6.666666666666667
i047_crop_group.jpg,left(#1),8.428571428571429,6.857142857142857,6.436423165457589,8.219713483537946,8.812125614711217,80.7136001586914,7.0
i047_crop_group.jpg,right(#2),7.285714285714286,7.428571428571429,7.241992950439453,7.336447034563337,7.552082061767578,41.26424026489258,7.0
i048_crop_group.jpg,left(#1),8.511627906976743,6.976744186046512,6.5810458161110095,7.808911700581395,8.610459083734556,78.18782043457031,7.166666666666667
i048_crop_group.jpg,right(#2),6.697674418604651,6.558139534883721,6.500999450683594,6.775167953136355,6.993052815282067,109.44882202148438,7.166666666666667
i049_crop_group.jpg,left(#1),6.0,5.720930232558139,5.82044273199037,6.045387268066406,6.6890445088231285,51.35979461669922,7.166666666666667
i049_crop_group.jpg,right(#2),5.8604651162790695,6.27906976744186,5.661668466967205,6.023654139319131,6.442956613939861,20.06621742248535,7.166666666666667
i050_crop_group.jpg,left(#1),7.714285714285714,7.0,6.892997196742466,7.983367919921875,8.372790200369698,88.71182250976562,7.0
i050_crop_group.jpg,right(#2),7.142857142857143,7.0,7.02772467476981,7.251003810337612,7.496966225760324,107.36026763916016,7.0
i051_crop_group.jpg,left(#1),8.142857142857142,6.285714285714286,6.2303466796875,7.803209577287946,8.308397020612444,86.79454803466797,7.0
i051_crop_group.jpg,right(#2),7.0,7.142857142857143,7.0369687761579245,7.362836020333426,7.697722843715122,17.40187644958496,7.0
i052_crop_group.jpg,left(#1),8.478260869565217,6.260869565217391,5.9233290630838145,7.924519082774286,8.621557816215184,82.561767578125,7.666666666666667
i052_crop_group.jpg,right(#2),7.304347826086956,6.521739130434782,6.299229165782099,7.336644545845363,7.636312070100203,76.70138549804688,7.666666666666667
i053_crop_group.jpg,left(#1),8.863636363636363,7.363636363636364,7.090102282437411,8.14085457541726,8.984909404407848,87.38851928710938,7.333333333333333
i053_crop_group.jpg,right(#2),7.772727272727273,7.772727272727273,7.770192926580256,7.837128379128196,8.061002904718572,105.94344329833984,7.333333333333333
i054_crop_group.jpg,left(#1),9.142857142857142,7.571428571428571,7.157941000802176,9.054971967424665,9.97653089250837,115.06583404541016,7.0
i054_crop_group.jpg,right(#2),7.714285714285714,7.714285714285714,7.458295004708426,7.934668949672154,8.12511226109096,127.05804443359375,7.0
i055_crop_group.jpg,left(#1),7.434782608695652,5.478260869565217,5.2947264961574385,6.763814511506453,7.47594402147376,83.77015686035156,7.666666666666667
i055_crop_group.jpg,right(#2),6.0,5.608695652173913,5.528364098590353,6.005280204441236,6.2362563091775645,103.76239013671875,7.666666666666667
i056_crop_group.jpg,left(#1),7.636363636363637,6.681818181818182,6.915941931984642,7.613604458895597,8.058183496648615,93.75835418701172,7.333333333333333
i056_crop_group.jpg,right(#2),7.5,7.363636363636364,7.473393006758257,7.572895223444159,7.7149996324019,40.104148864746094,7.333333333333333
